Time,Node,Node State Changes,Idle Time,Resource Requests
1,Node_0,0,0,0
1,Node_1,0,0,0
1,Node_2,0,0,0
2,Node_0,0,0,0
2,Node_1,0,0,0
2,Node_2,0,0,0
3,Node_0,0,0,0
3,Node_1,0,0,0
3,Node_2,1,0,0
4,Node_0,1,0,0
4,Node_1,0,0,0
4,Node_2,1,0,0
5,Node_0,1,0,0
5,Node_1,0,0,0
5,Node_2,2,0,0
6,Node_0,1,0,0
6,Node_1,1,0,0
6,Node_2,2,0,0
7,Node_0,2,0,0
7,Node_1,1,0,0
7,Node_2,3,0,0
8,Node_0,2,0,0
8,Node_1,1,0,0
8,Node_2,3,0,0
9,Node_0,2,0,0
9,Node_1,1,0,0
9,Node_2,4,0,0
10,Node_0,3,0,0
10,Node_1,1,0,0
10,Node_2,4,0,0
11,Node_0,3,0,0
11,Node_1,2,0,0
11,Node_2,5,0,0
12,Node_0,3,0,0
12,Node_1,2,0,0
12,Node_2,5,0,0
13,Node_0,4,0,0
13,Node_1,2,0,0
13,Node_2,6,0,0
14,Node_0,4,0,0
14,Node_1,2,0,0
14,Node_2,6,0,0
15,Node_0,4,0,0
15,Node_1,2,0,0
15,Node_2,7,0,0
16,Node_0,5,0,0
16,Node_1,3,0,0
16,Node_2,7,0,0
17,Node_0,5,0,0
17,Node_1,3,0,0
17,Node_2,8,0,0
18,Node_0,5,0,0
18,Node_1,3,0,0
18,Node_2,8,0,0
19,Node_0,6,0,0
19,Node_1,3,0,0
19,Node_2,9,0,0
20,Node_0,6,0,0
20,Node_1,3,0,0
20,Node_2,9,0,0
21,Node_0,6,0,0
21,Node_1,4,0,0
21,Node_2,10,0,0
22,Node_0,7,0,0
22,Node_1,4,0,0
22,Node_2,10,0,0
23,Node_0,7,0,0
23,Node_1,4,0,0
23,Node_2,11,0,0
24,Node_0,7,0,0
24,Node_1,4,0,0
24,Node_2,11,0,0
25,Node_0,8,0,0
25,Node_1,4,0,0
25,Node_2,12,0,0
26,Node_0,8,0,0
26,Node_1,5,0,0
26,Node_2,12,0,0
27,Node_0,8,0,0
27,Node_1,5,0,0
27,Node_2,13,0,0
28,Node_0,9,0,0
28,Node_1,5,0,0
28,Node_2,13,0,0
29,Node_0,9,0,0
29,Node_1,5,0,0
29,Node_2,14,0,0
30,Node_0,9,0,0
30,Node_1,5,0,0
30,Node_2,14,0,0
31,Node_0,10,0,0
31,Node_1,6,0,0
31,Node_2,15,0,0
32,Node_0,10,0,0
32,Node_1,6,0,0
32,Node_2,15,0,0
33,Node_0,10,0,0
33,Node_1,6,0,0
33,Node_2,16,0,0
34,Node_0,11,0,0
34,Node_1,6,0,0
34,Node_2,16,0,0
35,Node_0,11,0,0
35,Node_1,6,0,0
35,Node_2,17,0,0
36,Node_0,11,0,0
36,Node_1,7,0,0
36,Node_2,17,0,0
37,Node_0,12,0,0
37,Node_1,7,0,0
37,Node_2,18,0,0
38,Node_0,12,0,0
38,Node_1,7,0,0
38,Node_2,18,0,0
39,Node_0,12,0,0
39,Node_1,7,0,0
39,Node_2,19,0,0
40,Node_0,13,0,0
40,Node_1,7,0,0
40,Node_2,19,0,0
41,Node_0,13,0,0
41,Node_1,8,0,0
41,Node_2,20,0,0
42,Node_0,13,0,0
42,Node_1,8,0,0
42,Node_2,20,0,0
43,Node_0,14,0,0
43,Node_1,8,0,0
43,Node_2,21,0,0
44,Node_0,14,0,0
44,Node_1,8,0,0
44,Node_2,21,0,0
45,Node_0,14,0,0
45,Node_1,8,0,0
45,Node_2,22,0,0
46,Node_0,15,0,0
46,Node_1,9,0,0
46,Node_2,22,0,0
47,Node_0,15,0,0
47,Node_1,9,0,0
47,Node_2,23,0,0
48,Node_0,15,0,0
48,Node_1,9,0,0
48,Node_2,23,0,0
49,Node_0,16,0,0
49,Node_1,9,0,0
49,Node_2,24,0,0
50,Node_0,16,0,0
50,Node_1,9,0,0
50,Node_2,24,0,0
51,Node_0,16,0,0
51,Node_1,10,0,0
51,Node_2,25,0,0
52,Node_0,17,0,0
52,Node_1,10,0,0
52,Node_2,25,0,0
53,Node_0,17,0,0
53,Node_1,10,0,0
53,Node_2,26,0,0
54,Node_0,17,0,0
54,Node_1,10,0,0
54,Node_2,26,0,0
55,Node_0,18,0,0
55,Node_1,10,0,0
55,Node_2,27,0,0
56,Node_0,18,0,0
56,Node_1,11,0,0
56,Node_2,27,0,0
57,Node_0,18,0,0
57,Node_1,11,0,0
57,Node_2,28,0,0
58,Node_0,19,0,0
58,Node_1,11,0,0
58,Node_2,28,0,0
59,Node_0,19,0,0
59,Node_1,11,0,0
59,Node_2,29,0,0
60,Node_0,19,0,0
60,Node_1,11,0,0
60,Node_2,29,0,0
61,Node_0,20,0,0
61,Node_1,12,0,0
61,Node_2,30,0,0
62,Node_0,20,0,0
62,Node_1,12,0,0
62,Node_2,30,0,0
63,Node_0,20,0,0
63,Node_1,12,0,0
63,Node_2,31,0,0
64,Node_0,21,0,0
64,Node_1,12,0,0
64,Node_2,31,0,0
65,Node_0,21,0,0
65,Node_1,12,0,0
65,Node_2,32,0,0
66,Node_0,21,0,0
66,Node_1,13,0,0
66,Node_2,32,0,0
67,Node_0,22,0,0
67,Node_1,13,0,0
67,Node_2,33,0,0
68,Node_0,22,0,0
68,Node_1,13,0,0
68,Node_2,33,0,0
69,Node_0,22,0,0
69,Node_1,13,0,0
69,Node_2,34,0,0
70,Node_0,23,0,0
70,Node_1,13,0,0
70,Node_2,34,0,0
71,Node_0,23,0,0
71,Node_1,14,0,0
71,Node_2,35,0,0
72,Node_0,23,0,0
72,Node_1,14,0,0
72,Node_2,35,0,0
73,Node_0,24,0,0
73,Node_1,14,0,0
73,Node_2,36,0,0
74,Node_0,24,0,0
74,Node_1,14,0,0
74,Node_2,36,0,0
75,Node_0,24,0,0
75,Node_1,14,0,0
75,Node_2,37,0,0
76,Node_0,25,0,0
76,Node_1,15,0,0
76,Node_2,37,0,0
77,Node_0,25,0,0
77,Node_1,15,0,0
77,Node_2,38,0,0
78,Node_0,25,0,0
78,Node_1,15,0,0
78,Node_2,38,0,0
79,Node_0,26,0,0
79,Node_1,15,0,0
79,Node_2,39,0,0
80,Node_0,26,0,0
80,Node_1,15,0,0
80,Node_2,39,0,0
81,Node_0,26,0,0
81,Node_1,16,0,0
81,Node_2,40,0,0
82,Node_0,27,0,0
82,Node_1,16,0,0
82,Node_2,40,0,0
83,Node_0,27,0,0
83,Node_1,16,0,0
83,Node_2,41,0,0
84,Node_0,27,0,0
84,Node_1,16,0,0
84,Node_2,41,0,0
85,Node_0,28,0,0
85,Node_1,16,0,0
85,Node_2,42,0,0
86,Node_0,28,0,0
86,Node_1,17,0,0
86,Node_2,42,0,0
87,Node_0,28,0,0
87,Node_1,17,0,0
87,Node_2,43,0,0
88,Node_0,29,0,0
88,Node_1,17,0,0
88,Node_2,43,0,0
89,Node_0,29,0,0
89,Node_1,17,0,0
89,Node_2,44,0,0
90,Node_0,29,0,0
90,Node_1,17,0,0
90,Node_2,44,0,0
91,Node_0,30,0,0
91,Node_1,18,0,0
91,Node_2,45,0,0
92,Node_0,30,0,0
92,Node_1,18,0,0
92,Node_2,45,0,0
93,Node_0,30,0,0
93,Node_1,18,0,0
93,Node_2,46,0,0
94,Node_0,31,0,0
94,Node_1,18,0,0
94,Node_2,46,0,0
95,Node_0,31,0,0
95,Node_1,18,0,0
95,Node_2,47,0,0
96,Node_0,31,0,0
96,Node_1,19,0,0
96,Node_2,47,0,0
97,Node_0,32,0,0
97,Node_1,19,0,0
97,Node_2,48,0,0
98,Node_0,32,0,0
98,Node_1,19,0,0
98,Node_2,48,0,0
99,Node_0,32,0,0
99,Node_1,19,0,0
99,Node_2,49,0,0
100,Node_0,33,0,0
100,Node_1,19,0,0
100,Node_2,49,0,0
101,Node_0,33,0,0
101,Node_1,20,0,0
101,Node_2,50,0,0
102,Node_0,33,0,0
102,Node_1,20,0,0
102,Node_2,50,0,0
103,Node_0,34,0,0
103,Node_1,20,0,0
103,Node_2,51,0,0
104,Node_0,34,0,0
104,Node_1,20,0,0
104,Node_2,51,0,0
105,Node_0,34,0,0
105,Node_1,20,0,0
105,Node_2,52,0,0
106,Node_0,35,0,0
106,Node_1,21,0,0
106,Node_2,52,0,0
107,Node_0,35,0,0
107,Node_1,21,0,0
107,Node_2,53,0,0
108,Node_0,35,0,0
108,Node_1,21,0,0
108,Node_2,53,0,0
109,Node_0,36,0,0
109,Node_1,21,0,0
109,Node_2,54,0,0
110,Node_0,36,0,0
110,Node_1,21,0,0
110,Node_2,54,0,0
111,Node_0,36,0,0
111,Node_1,22,0,0
111,Node_2,55,0,0
112,Node_0,37,0,0
112,Node_1,22,0,0
112,Node_2,55,0,0
113,Node_0,37,0,0
113,Node_1,22,0,0
113,Node_2,56,0,0
114,Node_0,37,0,0
114,Node_1,22,0,0
114,Node_2,56,0,0
115,Node_0,38,0,0
115,Node_1,22,0,0
115,Node_2,57,0,0
116,Node_0,38,0,0
116,Node_1,23,0,0
116,Node_2,57,0,0
117,Node_0,38,0,0
117,Node_1,23,0,0
117,Node_2,58,0,0
118,Node_0,39,0,0
118,Node_1,23,0,0
118,Node_2,58,0,0
119,Node_0,39,0,0
119,Node_1,23,0,0
119,Node_2,59,0,0
120,Node_0,39,0,0
120,Node_1,23,0,0
120,Node_2,59,0,0
121,Node_0,40,0,0
121,Node_1,24,0,0
121,Node_2,60,0,0
122,Node_0,40,0,0
122,Node_1,24,0,0
122,Node_2,60,0,0
123,Node_0,40,0,0
123,Node_1,24,0,0
123,Node_2,61,0,0
124,Node_0,41,0,0
124,Node_1,24,0,0
124,Node_2,61,0,0
125,Node_0,41,0,0
125,Node_1,24,0,0
125,Node_2,62,0,0
126,Node_0,41,0,0
126,Node_1,25,0,0
126,Node_2,62,0,0
127,Node_0,42,0,0
127,Node_1,25,0,0
127,Node_2,63,0,0
128,Node_0,42,0,0
128,Node_1,25,0,0
128,Node_2,63,0,0
129,Node_0,42,0,0
129,Node_1,25,0,0
129,Node_2,64,0,0
130,Node_0,43,0,0
130,Node_1,25,0,0
130,Node_2,64,0,0
131,Node_0,43,0,0
131,Node_1,26,0,0
131,Node_2,65,0,0
132,Node_0,43,0,0
132,Node_1,26,0,0
132,Node_2,65,0,0
133,Node_0,44,0,0
133,Node_1,26,0,0
133,Node_2,66,0,0
134,Node_0,44,0,0
134,Node_1,26,0,0
134,Node_2,66,0,0
135,Node_0,44,0,0
135,Node_1,26,0,0
135,Node_2,67,0,0
136,Node_0,45,0,0
136,Node_1,27,0,0
136,Node_2,67,0,0
137,Node_0,45,0,0
137,Node_1,27,0,0
137,Node_2,68,0,0
138,Node_0,45,0,0
138,Node_1,27,0,0
138,Node_2,68,0,0
139,Node_0,46,0,0
139,Node_1,27,0,0
139,Node_2,69,0,0
140,Node_0,46,0,0
140,Node_1,27,0,0
140,Node_2,69,0,0
141,Node_0,46,0,0
141,Node_1,28,0,0
141,Node_2,70,0,0
142,Node_0,47,0,0
142,Node_1,28,0,0
142,Node_2,70,0,0
143,Node_0,47,0,0
143,Node_1,28,0,0
143,Node_2,71,0,0
144,Node_0,47,0,0
144,Node_1,28,0,0
144,Node_2,71,0,0
145,Node_0,48,0,0
145,Node_1,28,0,0
145,Node_2,72,0,0
146,Node_0,48,0,0
146,Node_1,29,0,0
146,Node_2,72,0,0
147,Node_0,48,0,0
147,Node_1,29,0,0
147,Node_2,73,0,0
148,Node_0,49,0,0
148,Node_1,29,0,0
148,Node_2,73,0,0
149,Node_0,49,0,0
149,Node_1,29,0,0
149,Node_2,74,0,0
150,Node_0,49,0,0
150,Node_1,29,0,0
150,Node_2,74,0,0
151,Node_0,50,0,0
151,Node_1,30,0,0
151,Node_2,75,0,0
152,Node_0,50,0,0
152,Node_1,30,0,0
152,Node_2,75,0,0
153,Node_0,50,0,0
153,Node_1,30,0,0
153,Node_2,76,0,0
154,Node_0,51,0,0
154,Node_1,30,0,0
154,Node_2,76,0,0
155,Node_0,51,0,0
155,Node_1,30,0,0
155,Node_2,77,0,0
156,Node_0,51,0,0
156,Node_1,31,0,0
156,Node_2,77,0,0
157,Node_0,52,0,0
157,Node_1,31,0,0
157,Node_2,78,0,0
158,Node_0,52,0,0
158,Node_1,31,0,0
158,Node_2,78,0,0
159,Node_0,52,0,0
159,Node_1,31,0,0
159,Node_2,79,0,0
160,Node_0,53,0,0
160,Node_1,31,0,0
160,Node_2,79,0,0
161,Node_0,53,0,0
161,Node_1,32,0,0
161,Node_2,80,0,0
162,Node_0,53,0,0
162,Node_1,32,0,0
162,Node_2,80,0,0
163,Node_0,54,0,0
163,Node_1,32,0,0
163,Node_2,81,0,0
164,Node_0,54,0,0
164,Node_1,32,0,0
164,Node_2,81,0,0
165,Node_0,54,0,0
165,Node_1,32,0,0
165,Node_2,82,0,0
166,Node_0,55,0,0
166,Node_1,33,0,0
166,Node_2,82,0,0
167,Node_0,55,0,0
167,Node_1,33,0,0
167,Node_2,83,0,0
168,Node_0,55,0,0
168,Node_1,33,0,0
168,Node_2,83,0,0
169,Node_0,56,0,0
169,Node_1,33,0,0
169,Node_2,84,0,0
170,Node_0,56,0,0
170,Node_1,33,0,0
170,Node_2,84,0,0
171,Node_0,56,0,0
171,Node_1,34,0,0
171,Node_2,85,0,0
172,Node_0,57,0,0
172,Node_1,34,0,0
172,Node_2,85,0,0
173,Node_0,57,0,0
173,Node_1,34,0,0
173,Node_2,86,0,0
174,Node_0,57,0,0
174,Node_1,34,0,0
174,Node_2,86,0,0
175,Node_0,58,0,0
175,Node_1,34,0,0
175,Node_2,87,0,0
176,Node_0,58,0,0
176,Node_1,35,0,0
176,Node_2,87,0,0
177,Node_0,58,0,0
177,Node_1,35,0,0
177,Node_2,88,0,0
178,Node_0,59,0,0
178,Node_1,35,0,0
178,Node_2,88,0,0
179,Node_0,59,0,0
179,Node_1,35,0,0
179,Node_2,89,0,0
180,Node_0,59,0,0
180,Node_1,35,0,0
180,Node_2,89,0,0
181,Node_0,60,0,0
181,Node_1,36,0,0
181,Node_2,90,0,0
182,Node_0,60,0,0
182,Node_1,36,0,0
182,Node_2,90,0,0
183,Node_0,60,0,0
183,Node_1,36,0,0
183,Node_2,91,0,0
184,Node_0,61,0,0
184,Node_1,36,0,0
184,Node_2,91,0,0
185,Node_0,61,0,0
185,Node_1,36,0,0
185,Node_2,92,0,0
186,Node_0,61,0,0
186,Node_1,37,0,0
186,Node_2,92,0,0
187,Node_0,62,0,0
187,Node_1,37,0,0
187,Node_2,93,0,0
188,Node_0,62,0,0
188,Node_1,37,0,0
188,Node_2,93,0,0
189,Node_0,62,0,0
189,Node_1,37,0,0
189,Node_2,94,0,0
190,Node_0,63,0,0
190,Node_1,37,0,0
190,Node_2,94,0,0
191,Node_0,63,0,0
191,Node_1,38,0,0
191,Node_2,95,0,0
192,Node_0,63,0,0
192,Node_1,38,0,0
192,Node_2,95,0,0
193,Node_0,64,0,0
193,Node_1,38,0,0
193,Node_2,96,0,0
194,Node_0,64,0,0
194,Node_1,38,0,0
194,Node_2,96,0,0
195,Node_0,64,0,0
195,Node_1,38,0,0
195,Node_2,97,0,0
196,Node_0,65,0,0
196,Node_1,39,0,0
196,Node_2,97,0,0
197,Node_0,65,0,0
197,Node_1,39,0,0
197,Node_2,98,0,0
198,Node_0,65,0,0
198,Node_1,39,0,0
198,Node_2,98,0,0
199,Node_0,66,0,0
199,Node_1,39,0,0
199,Node_2,99,0,0
200,Node_0,66,0,0
200,Node_1,39,0,0
200,Node_2,99,0,0
201,Node_0,66,0,0
201,Node_1,40,0,0
201,Node_2,100,0,0
202,Node_0,67,0,0
202,Node_1,40,0,0
202,Node_2,100,0,0
203,Node_0,67,0,0
203,Node_1,40,0,0
203,Node_2,101,0,0
204,Node_0,67,0,0
204,Node_1,40,0,0
204,Node_2,101,0,0
205,Node_0,68,0,0
205,Node_1,40,0,0
205,Node_2,102,0,0
206,Node_0,68,0,0
206,Node_1,41,0,0
206,Node_2,102,0,0
207,Node_0,68,0,0
207,Node_1,41,0,0
207,Node_2,103,0,0
208,Node_0,69,0,0
208,Node_1,41,0,0
208,Node_2,103,0,0
209,Node_0,69,0,0
209,Node_1,41,0,0
209,Node_2,104,0,0
210,Node_0,69,0,0
210,Node_1,41,0,0
210,Node_2,104,0,0
211,Node_0,70,0,0
211,Node_1,42,0,0
211,Node_2,105,0,0
212,Node_0,70,0,0
212,Node_1,42,0,0
212,Node_2,105,0,0
213,Node_0,70,0,0
213,Node_1,42,0,0
213,Node_2,106,0,0
214,Node_0,71,0,0
214,Node_1,42,0,0
214,Node_2,106,0,0
215,Node_0,71,0,0
215,Node_1,42,0,0
215,Node_2,107,0,0
216,Node_0,71,0,0
216,Node_1,43,0,0
216,Node_2,107,0,0
217,Node_0,72,0,0
217,Node_1,43,0,0
217,Node_2,108,0,0
218,Node_0,72,0,0
218,Node_1,43,0,0
218,Node_2,108,0,0
219,Node_0,72,0,0
219,Node_1,43,0,0
219,Node_2,109,0,0
220,Node_0,73,0,0
220,Node_1,43,0,0
220,Node_2,109,0,0
221,Node_0,73,0,0
221,Node_1,44,0,0
221,Node_2,110,0,0
222,Node_0,73,0,0
222,Node_1,44,0,0
222,Node_2,110,0,0
223,Node_0,74,0,0
223,Node_1,44,0,0
223,Node_2,111,0,0
224,Node_0,74,0,0
224,Node_1,44,0,0
224,Node_2,111,0,0
225,Node_0,74,0,0
225,Node_1,44,0,0
225,Node_2,112,0,0
226,Node_0,75,0,0
226,Node_1,45,0,0
226,Node_2,112,0,0
227,Node_0,75,0,0
227,Node_1,45,0,0
227,Node_2,113,0,0
228,Node_0,75,0,0
228,Node_1,45,0,0
228,Node_2,113,0,0
229,Node_0,76,0,0
229,Node_1,45,0,0
229,Node_2,114,0,0
230,Node_0,76,0,0
230,Node_1,45,0,0
230,Node_2,114,0,0
231,Node_0,76,0,0
231,Node_1,46,0,0
231,Node_2,115,0,0
232,Node_0,77,0,0
232,Node_1,46,0,0
232,Node_2,115,0,0
233,Node_0,77,0,0
233,Node_1,46,0,0
233,Node_2,116,0,0
234,Node_0,77,0,0
234,Node_1,46,0,0
234,Node_2,116,0,0
235,Node_0,78,0,0
235,Node_1,46,0,0
235,Node_2,117,0,0
236,Node_0,78,0,0
236,Node_1,47,0,0
236,Node_2,117,0,0
237,Node_0,78,0,0
237,Node_1,47,0,0
237,Node_2,118,0,0
238,Node_0,79,0,0
238,Node_1,47,0,0
238,Node_2,118,0,0
239,Node_0,79,0,0
239,Node_1,47,0,0
239,Node_2,119,0,0
240,Node_0,79,0,0
240,Node_1,47,0,0
240,Node_2,119,0,0
241,Node_0,80,0,0
241,Node_1,48,0,0
241,Node_2,120,0,0
242,Node_0,80,0,0
242,Node_1,48,0,0
242,Node_2,120,0,0
243,Node_0,80,0,0
243,Node_1,48,0,0
243,Node_2,121,0,0
244,Node_0,81,0,0
244,Node_1,48,0,0
244,Node_2,121,0,0
245,Node_0,81,0,0
245,Node_1,48,0,0
245,Node_2,122,0,0
246,Node_0,81,0,0
246,Node_1,49,0,0
246,Node_2,122,0,0
247,Node_0,82,0,0
247,Node_1,49,0,0
247,Node_2,123,0,0
248,Node_0,82,0,0
248,Node_1,49,0,0
248,Node_2,123,0,0
249,Node_0,82,0,0
249,Node_1,49,0,0
249,Node_2,124,0,0
250,Node_0,83,0,0
250,Node_1,49,0,0
250,Node_2,124,0,0
251,Node_0,83,0,0
251,Node_1,50,0,0
251,Node_2,125,0,0
252,Node_0,83,0,0
252,Node_1,50,0,0
252,Node_2,125,0,0
253,Node_0,84,0,0
253,Node_1,50,0,0
253,Node_2,126,0,0
254,Node_0,84,0,0
254,Node_1,50,0,0
254,Node_2,126,0,0
255,Node_0,84,0,0
255,Node_1,50,0,0
255,Node_2,127,0,0
256,Node_0,85,0,0
256,Node_1,51,0,0
256,Node_2,127,0,0
257,Node_0,85,0,0
257,Node_1,51,0,0
257,Node_2,128,0,0
258,Node_0,85,0,0
258,Node_1,51,0,0
258,Node_2,128,0,0
259,Node_0,86,0,0
259,Node_1,51,0,0
259,Node_2,129,0,0
260,Node_0,86,0,0
260,Node_1,51,0,0
260,Node_2,129,0,0
261,Node_0,86,0,0
261,Node_1,52,0,0
261,Node_2,130,0,0
262,Node_0,87,0,0
262,Node_1,52,0,0
262,Node_2,130,0,0
263,Node_0,87,0,0
263,Node_1,52,0,0
263,Node_2,131,0,0
264,Node_0,87,0,0
264,Node_1,52,0,0
264,Node_2,131,0,0
265,Node_0,88,0,0
265,Node_1,52,0,0
265,Node_2,132,0,0
266,Node_0,88,0,0
266,Node_1,53,0,0
266,Node_2,132,0,0
267,Node_0,88,0,0
267,Node_1,53,0,0
267,Node_2,133,0,0
268,Node_0,89,0,0
268,Node_1,53,0,0
268,Node_2,133,0,0
269,Node_0,89,0,0
269,Node_1,53,0,0
269,Node_2,134,0,0
270,Node_0,89,0,0
270,Node_1,53,0,0
270,Node_2,134,0,0
271,Node_0,90,0,0
271,Node_1,54,0,0
271,Node_2,135,0,0
272,Node_0,90,0,0
272,Node_1,54,0,0
272,Node_2,135,0,0
273,Node_0,90,0,0
273,Node_1,54,0,0
273,Node_2,136,0,0
274,Node_0,91,0,0
274,Node_1,54,0,0
274,Node_2,136,0,0
275,Node_0,91,0,0
275,Node_1,54,0,0
275,Node_2,137,0,0
276,Node_0,91,0,0
276,Node_1,55,0,0
276,Node_2,137,0,0
277,Node_0,92,0,0
277,Node_1,55,0,0
277,Node_2,138,0,0
278,Node_0,92,0,0
278,Node_1,55,0,0
278,Node_2,138,0,0
279,Node_0,92,0,0
279,Node_1,55,0,0
279,Node_2,139,0,0
280,Node_0,93,0,0
280,Node_1,55,0,0
280,Node_2,139,0,0
281,Node_0,93,0,0
281,Node_1,56,0,0
281,Node_2,140,0,0
282,Node_0,93,0,0
282,Node_1,56,0,0
282,Node_2,140,0,0
283,Node_0,94,0,0
283,Node_1,56,0,0
283,Node_2,141,0,0
284,Node_0,94,0,0
284,Node_1,56,0,0
284,Node_2,141,0,0
285,Node_0,94,0,0
285,Node_1,56,0,0
285,Node_2,142,0,0
286,Node_0,95,0,0
286,Node_1,57,0,0
286,Node_2,142,0,0
287,Node_0,95,0,0
287,Node_1,57,0,0
287,Node_2,143,0,0
288,Node_0,95,0,0
288,Node_1,57,0,0
288,Node_2,143,0,0
289,Node_0,96,0,0
289,Node_1,57,0,0
289,Node_2,144,0,0
290,Node_0,96,0,0
290,Node_1,57,0,0
290,Node_2,144,0,0
291,Node_0,96,0,0
291,Node_1,58,0,0
291,Node_2,145,0,0
292,Node_0,97,0,0
292,Node_1,58,0,0
292,Node_2,145,0,0
293,Node_0,97,0,0
293,Node_1,58,0,0
293,Node_2,146,0,0
294,Node_0,97,0,0
294,Node_1,58,0,0
294,Node_2,146,0,0
295,Node_0,98,0,0
295,Node_1,58,0,0
295,Node_2,147,0,0
296,Node_0,98,0,0
296,Node_1,59,0,0
296,Node_2,147,0,0
297,Node_0,98,0,0
297,Node_1,59,0,0
297,Node_2,148,0,0
298,Node_0,99,0,0
298,Node_1,59,0,0
298,Node_2,148,0,0
299,Node_0,99,0,0
299,Node_1,59,0,0
299,Node_2,149,0,0
300,Node_0,99,0,0
300,Node_1,59,0,0
300,Node_2,149,0,0
301,Node_0,100,0,0
301,Node_1,60,0,0
301,Node_2,150,0,0
302,Node_0,100,0,0
302,Node_1,60,0,0
302,Node_2,150,0,0
303,Node_0,100,0,0
303,Node_1,60,0,0
303,Node_2,151,0,0
304,Node_0,101,0,0
304,Node_1,60,0,0
304,Node_2,151,0,0
305,Node_0,101,0,0
305,Node_1,60,0,0
305,Node_2,152,0,0
306,Node_0,101,0,0
306,Node_1,61,0,0
306,Node_2,152,0,0
307,Node_0,102,0,0
307,Node_1,61,0,0
307,Node_2,153,0,0
308,Node_0,102,0,0
308,Node_1,61,0,0
308,Node_2,153,0,0
309,Node_0,102,0,0
309,Node_1,61,0,0
309,Node_2,154,0,0
310,Node_0,103,0,0
310,Node_1,61,0,0
310,Node_2,154,0,0
311,Node_0,103,0,0
311,Node_1,62,0,0
311,Node_2,155,0,0
312,Node_0,103,0,0
312,Node_1,62,0,0
312,Node_2,155,0,0
313,Node_0,104,0,0
313,Node_1,62,0,0
313,Node_2,156,0,0
314,Node_0,104,0,0
314,Node_1,62,0,0
314,Node_2,156,0,0
315,Node_0,104,0,0
315,Node_1,62,0,0
315,Node_2,157,0,0
316,Node_0,105,0,0
316,Node_1,63,0,0
316,Node_2,157,0,0
317,Node_0,105,0,0
317,Node_1,63,0,0
317,Node_2,158,0,0
318,Node_0,105,0,0
318,Node_1,63,0,0
318,Node_2,158,0,0
319,Node_0,106,0,0
319,Node_1,63,0,0
319,Node_2,159,0,0
320,Node_0,106,0,0
320,Node_1,63,0,0
320,Node_2,159,0,0
321,Node_0,106,0,0
321,Node_1,64,0,0
321,Node_2,160,0,0
322,Node_0,107,0,0
322,Node_1,64,0,0
322,Node_2,160,0,0
323,Node_0,107,0,0
323,Node_1,64,0,0
323,Node_2,161,0,0
324,Node_0,107,0,0
324,Node_1,64,0,0
324,Node_2,161,0,0
325,Node_0,108,0,0
325,Node_1,64,0,0
325,Node_2,162,0,0
326,Node_0,108,0,0
326,Node_1,65,0,0
326,Node_2,162,0,0
327,Node_0,108,0,0
327,Node_1,65,0,0
327,Node_2,163,0,0
328,Node_0,109,0,0
328,Node_1,65,0,0
328,Node_2,163,0,0
329,Node_0,109,0,0
329,Node_1,65,0,0
329,Node_2,164,0,0
330,Node_0,109,0,0
330,Node_1,65,0,0
330,Node_2,164,0,0
331,Node_0,110,0,0
331,Node_1,66,0,0
331,Node_2,165,0,0
332,Node_0,110,0,0
332,Node_1,66,0,0
332,Node_2,165,0,0
333,Node_0,110,0,0
333,Node_1,66,0,0
333,Node_2,166,0,0
334,Node_0,111,0,0
334,Node_1,66,0,0
334,Node_2,166,0,0
335,Node_0,111,0,0
335,Node_1,66,0,0
335,Node_2,167,0,0
336,Node_0,111,0,0
336,Node_1,67,0,0
336,Node_2,167,0,0
337,Node_0,112,0,0
337,Node_1,67,0,0
337,Node_2,168,0,0
338,Node_0,112,0,0
338,Node_1,67,0,0
338,Node_2,168,0,0
339,Node_0,112,0,0
339,Node_1,67,0,0
339,Node_2,169,0,0
340,Node_0,113,0,0
340,Node_1,67,0,0
340,Node_2,169,0,0
341,Node_0,113,0,0
341,Node_1,68,0,0
341,Node_2,170,0,0
342,Node_0,113,0,0
342,Node_1,68,0,0
342,Node_2,170,0,0
343,Node_0,114,0,0
343,Node_1,68,0,0
343,Node_2,171,0,0
344,Node_0,114,0,0
344,Node_1,68,0,0
344,Node_2,171,0,0
345,Node_0,114,0,0
345,Node_1,68,0,0
345,Node_2,172,0,0
346,Node_0,115,0,0
346,Node_1,69,0,0
346,Node_2,172,0,0
347,Node_0,115,0,0
347,Node_1,69,0,0
347,Node_2,173,0,0
348,Node_0,115,0,0
348,Node_1,69,0,0
348,Node_2,173,0,0
349,Node_0,116,0,0
349,Node_1,69,0,0
349,Node_2,174,0,0
350,Node_0,116,0,0
350,Node_1,69,0,0
350,Node_2,174,0,0
351,Node_0,116,0,0
351,Node_1,70,0,0
351,Node_2,175,0,0
352,Node_0,117,0,0
352,Node_1,70,0,0
